State,District,Solar Irradiance,Cultivated land (%),Cropping Intensity(%),Irrigation Intensity (%),IWU (% of CWU),Cultivated land (%),Cropping Intensity(%),Irrigation Intensity (%),IWU (% of CWU),Text-Crop,GW share irr (% of IWU),GW_dev_stage (%),Aquifer type,Number of SW bodies,Surface water area (km2),Surface water area (km2)-%,GW share irr (% of IWU),GW_dev_stage (%),Surface water area (km2),Text-Water,Number of pumps,Elect(%),Diesel (%),GW_abstracted (MCM),Electricity Tariff,GWL (m),Elect(%),emission factor,Emission (kgCO2),Text-Energy,Small& Marginal % Holdings,Avg Area per holding (ALLGrps),Avg. No. of Parcel per holdings (Allgrps),Small& Marginal % Holdings,Avg Area_class,parcel_class,Text-Farmer,DISCOM Name,DISCOM Name-shrt,DISCOM Rating,Feeder segregation,Feeder segregation,Electricity Tariff,Electricity Subsidy,Text-Utilty,Community-SIP,Community-SIP-text,SW-SIP,SW-SIP-BI,Pump,DISCOM-R,Feeder segregation,Text-Model,Text-Model-n,Model-short
uttar pradesh,Ghaziabad,4.80,53.77,148.70,100.00,76.72,High,Moderate,Very High,Very High,"District has High proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is Very High with Very High irrigation water requirements.",78.46,123.15,SR,908.00,3.17,0.36,Very High,Over-exploited,2,"Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Over-exploited. There are 908 surface water bodies, covering 0.4% of district area.",100.00,8.00,92,759.4929,0.00,11.60,4,0.089584,0.01,"District has 100 pumps, with 8 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 759 MCM of groundwater.",91.80,0.80,2.24,Very High,4.00,High,Small and Marginal farmers hold 91 % of holdings. The average area per holding is 0.8 ha with High fragmentation of land.,Paschimanchal Vidyut Vitran Nigam Limited (PVVNL),,B,Yes,More than 70 % of feeder is segregated.,0.00,Very High,Paschimanchal Vidyut Vitran Nigam Limited (PVVNL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B. More than 70 % of feeder is segregated.,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred, High groundwater development suggests that new SIPs should focus on surface water sources. ,Yes,Diesel,High,Yes,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred.,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred. High groundwater development suggests that new SIPs should focus on surface water sources.  Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,PM-KUSUM B
uttar pradesh,Ghazipur,4.87,78.18,172.10,88.30,73.30,Very High,Moderate,Very High,Very High,"District has Very High proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is Very High with Very High irrigation water requirements.",62.82,59.18,SR,3196.00,4.37,0.13,High,Moderate,2,"Groundwater contribution to irrigation is High with current groundwater development stage classified as Moderate. There are 3196 surface water bodies, covering 0.1% of district area.",100.00,33.00,64,494.4049,0.00,6.30,3,0.138588,0.00,"District has 100 pumps, with 33 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 494 MCM of groundwater.",95.77,0.61,1.54,Very High,4.00,Moderate,Small and Marginal farmers hold 95 % of holdings. The average area per holding is 0.61 ha with Moderate fragmentation of land.,Purvanchal Vidyut Vitran Nigam Limited (PuVVNL),,C-,Yes,More than 70 % of feeder is segregated.,0.00,Very High,Purvanchal Vidyut Vitran Nigam Limited (PuVVNL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C-. More than 70 % of feeder is segregated.,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,,,mix,,Yes,"Both electric and diesel pumps are present. With more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM. PM-KUSUM B for diesel pumps.","Both electric and diesel pumps are present. With more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM. PM-KUSUM B for diesel pumps. Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred",PM-KUSUM model B and C (IPS and FLS) +  DISCOM
gujarat,Gir Somnath,5.50,66.46,187.90,58.20,84.84,High,High,High,Very High,"District has High proportion of area under cultivation, supporting High cropping intensity. Irrigation coverage is High with Very High irrigation water requirements.",98.99,45.85,HR,546.00,12.46,0.68,Very High,Low,3,"Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Low. There are 546 surface water bodies, covering 0.7% of district area.",100.00,100.00,0,320.7905,60.00,9.73,1,0.278,0.01,"District has 100 pumps, with 100 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 320 MCM of groundwater.",78.45,1.57,1.00,High,3.00,Low,Small and Marginal farmers hold 78 % of holdings. The average area per holding is 1.57 ha with Low fragmentation of land.,Paschim Gujarat Vij Company Limited (PGVCL),,A+,Yes,More than 70 % of feeder is segregated.,60.00,Very High,Paschim Gujarat Vij Company Limited (PGVCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is A+. More than 70 % of feeder is segregated.,,, High groundwater development suggests that new SIPs should focus on surface water sources. ,Yes,Electric,High,Yes,High DISCOM rating alongside feeder segregation and need for groundwater management suggests PM-KUSUM model C (IPS) may be preferred to incentivise groundwater conservation. Model C (FLS) may be promoted with appropriate innovation to incentivise groundwater conservation.,High DISCOM rating alongside feeder segregation and need for groundwater management suggests PM-KUSUM model C (IPS) may be preferred to incentivise groundwater conservation. Model C (FLS) may be promoted with appropriate innovation to incentivise groundwater conservation. High groundwater development suggests that new SIPs should focus on surface water sources. ,PM-KUSUM model C (IPS)
jharkhand,Giridih,4.97,8.54,259.80,17.80,42.12,Low,Very High,Low,Moderate,"District has Low proportion of area under cultivation, supporting Very High cropping intensity. Irrigation coverage is Low with Moderate irrigation water requirements.",56.57,37.75,HR,5127.00,35.93,0.72,High,Low,4,"Groundwater contribution to irrigation is High with current groundwater development stage classified as Low. There are 5127 surface water bodies, covering 0.7% of district area.",100.00,4.00,96,145.461,95.00,7.90,4,0.081392,0.00,"District has 100 pumps, with 4 % of pumps being electric. The electric tariff subsidy is High. These pumps abstract 145 MCM of groundwater.",94.32,0.58,2.00,Very High,4.00,High,Small and Marginal farmers hold 94 % of holdings. The average area per holding is 0.58 ha with High fragmentation of land.,Jharkhand Bijli Vitran Nigam Limited (JBVNL),,C-,No,,95.00,High,Jharkhand Bijli Vitran Nigam Limited (JBVNL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C-. ,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,,,Diesel,,No,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred.,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred. Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,PM-KUSUM B
assam,Goalpara,4.38,39.68,175.00,18.30,37.76,Moderate,Moderate,Low,Moderate,"District has Moderate proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is Low with Moderate irrigation water requirements.",42.89,21.18,SR,9007.00,14.50,0.76,Moderate,Low,3,"Groundwater contribution to irrigation is Moderate with current groundwater development stage classified as Low. There are 9007 surface water bodies, covering 0.8% of district area.",100.00,0.00,100,124.2443,465.00,3.90,4,0.0732,0.00,"District has 100 pumps, with 0 % of pumps being electric. The electric tariff subsidy is Low. These pumps abstract 124 MCM of groundwater.",88.16,0.94,4.66,Very High,4.00,Very High,Small and Marginal farmers hold 88 % of holdings. The average area per holding is 0.94 ha with Very High fragmentation of land.,Assam Power Distribution Company Limited (APDCL),,B-,No,,465.00,Low,Assam Power Distribution Company Limited (APDCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B-. ,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,,,Diesel,,No,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred.,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred. Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,PM-KUSUM B
jharkhand,Godda,4.72,21.02,132.90,14.50,44.39,Low,Low,Low,Moderate,"District has Low proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Low with Moderate irrigation water requirements.",48.22,21.28,HR,3902.00,505.02,22.54,Moderate,Low,4,"Groundwater contribution to irrigation is Moderate with current groundwater development stage classified as Low. There are 3902 surface water bodies, covering 22.5% of district area.",100.00,3.00,92,45.4984,95.00,7.00,4,0.075684,0.00,"District has 100 pumps, with 3 % of pumps being electric. The electric tariff subsidy is High. These pumps abstract 45 MCM of groundwater.",82.48,1.22,2.06,Very High,3.00,High,Small and Marginal farmers hold 82 % of holdings. The average area per holding is 1.22 ha with High fragmentation of land.,Jharkhand Bijli Vitran Nigam Limited (JBVNL),,C-,No,,95.00,High,Jharkhand Bijli Vitran Nigam Limited (JBVNL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C-. ,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,,,Diesel,,No,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred.,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred. Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,PM-KUSUM B
assam,Golaghat,4.33,40.93,127.40,0.30,34.05,Moderate,Low,Low,Moderate,"District has Moderate proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Low with Moderate irrigation water requirements.",27.96,6.12,SR,9496.00,9.79,0.27,Moderate,Low,3,"Groundwater contribution to irrigation is Moderate with current groundwater development stage classified as Low. There are 9496 surface water bodies, covering 0.3% of district area.",100.00,8.00,92,59.3647,465.00,4.04,4,0.089584,0.00,"District has 100 pumps, with 8 % of pumps being electric. The electric tariff subsidy is Low. These pumps abstract 59 MCM of groundwater.",83.41,1.01,2.82,Very High,3.00,High,Small and Marginal farmers hold 83 % of holdings. The average area per holding is 1.01 ha with High fragmentation of land.,Assam Power Distribution Company Limited (APDCL),,B-,No,,465.00,Low,Assam Power Distribution Company Limited (APDCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B-. ,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,,,Diesel,,No,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred.,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred. Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,PM-KUSUM B
tripura,Gomati,4.59,27.05,185.30,26.60,36.80,Moderate,High,Moderate,Moderate,"District has Moderate proportion of area under cultivation, supporting High cropping intensity. Irrigation coverage is Moderate with Moderate irrigation water requirements.",16.80,5.92,HR,0.00,0.00,0.00,Low,Low,1,"Groundwater contribution to irrigation is Low with current groundwater development stage classified as Low. There are 0 surface water bodies, covering 0% of district area.",100.00,100.00,0,270.092,405.00,3.60,1,0.278,0.00,"District has 100 pumps, with 100 % of pumps being electric. The electric tariff subsidy is Low. These pumps abstract 270 MCM of groundwater.",93.83,0.60,1.35,Very High,4.00,Moderate,Small and Marginal farmers hold 93 % of holdings. The average area per holding is 0.6 ha with Moderate fragmentation of land.,Tripura State Electricity Corporation Limited (TSECL),,C,No,,405.00,Low,Tripura State Electricity Corporation Limited (TSECL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C. ,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,,,Electric,,No,"Electric pump proportion is higher, however low DISCOM rating and low feeder segregation suggests that implementing PM-KUSUM C model may be challenging. Existing diesel pumps can be prioritised under PM-KUSUM B while investments are made to strengthen DISCOM and feeder segregations. ","Electric pump proportion is higher, however low DISCOM rating and low feeder segregation suggests that implementing PM-KUSUM C model may be challenging. Existing diesel pumps can be prioritised under PM-KUSUM B while investments are made to strengthen DISCOM and feeder segregations.  Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred",PM-KUSUM B + DISCOM
uttar pradesh,Gonda,4.76,60.46,157.30,88.20,70.02,High,Moderate,Very High,Very High,"District has High proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is Very High with Very High irrigation water requirements.",83.23,60.11,SR,2932.00,11.65,0.29,Very High,Moderate,3,"Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Moderate. There are 2932 surface water bodies, covering 0.3% of district area.",100.00,41.00,59,461.9134,0.00,5.02,3,0.157168,0.00,"District has 100 pumps, with 41 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 461 MCM of groundwater.",96.50,0.58,1.48,Very High,4.00,Moderate,Small and Marginal farmers hold 96 % of holdings. The average area per holding is 0.58 ha with Moderate fragmentation of land.,Madhyanchal Vidyut Vitran Nigam Limited (MVVNL),,C-,Yes,More than 70 % of feeder is segregated.,0.00,Very High,Madhyanchal Vidyut Vitran Nigam Limited (MVVNL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C-. More than 70 % of feeder is segregated.,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred, High groundwater development suggests that new SIPs should focus on surface water sources. ,Yes,mix,,Yes,Both electric and diesel pumps are present.  Low DISCOM rating and low feeder segregation suggests that implementing PM-KUSUM C model may be challenging. Existing diesel pumps can be prioritised under PM-KUSUM B while investments are made to strengthen DISCOM and feeder segregations. ,Both electric and diesel pumps are present.  Low DISCOM rating and low feeder segregation suggests that implementing PM-KUSUM C model may be challenging. Existing diesel pumps can be prioritised under PM-KUSUM B while investments are made to strengthen DISCOM and feeder segregations.  High groundwater development suggests that new SIPs should focus on surface water sources.  Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,PM-KUSUM B + DISCOM
maharashtra,Gondiya,5.24,29.51,125.40,48.30,69.00,Moderate,Low,Moderate,Very High,"District has Moderate proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Moderate with Very High irrigation water requirements.",22.19,26.31,HR,4100.00,45.08,0.96,Low,Low,4,"Groundwater contribution to irrigation is Low with current groundwater development stage classified as Low. There are 4100 surface water bodies, covering 1% of district area.",100.00,90.00,10,164.0877,155.00,7.59,1,0.25752,0.00,"District has 100 pumps, with 90 % of pumps being electric. The electric tariff subsidy is Moderate. These pumps abstract 164 MCM of groundwater.",92.37,0.82,1.71,Very High,4.00,Moderate,Small and Marginal farmers hold 92 % of holdings. The average area per holding is 0.82 ha with Moderate fragmentation of land.,Maharashtra State Electricity Distribution Company Limited (MSEDCL),,C,Yes,More than 70 % of feeder is segregated.,155.00,Moderate,Maharashtra State Electricity Distribution Company Limited (MSEDCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C. More than 70 % of feeder is segregated.,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,,,Electric,,Yes,"Electric pump proportion is higher, with more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM.","Electric pump proportion is higher, with more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM. Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred",PM-KUSUM model C (IPS and FLS) + DISCOM
bihar,Gopalganj,4.67,68.10,117.10,81.80,67.90,High,Low,Very High,Very High,"District has High proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Very High with Very High irrigation water requirements.",68.03,49.22,SR,1678.00,126.67,6.20,High,Low,4,"Groundwater contribution to irrigation is High with current groundwater development stage classified as Low. There are 1678 surface water bodies, covering 6.2% of district area.",100.00,44.00,56,451.9339,67.50,4.04,3,0.163312,0.00,"District has 100 pumps, with 44 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 451 MCM of groundwater.",98.63,0.19,4.60,Very High,4.00,Very High,Small and Marginal farmers hold 98 % of holdings. The average area per holding is 0.19 ha with Very High fragmentation of land.,North Bihar Power Distribution Company Ltd (NBPDCL),,C,Yes,More than 70 % of feeder is segregated.,67.50,Very High,North Bihar Power Distribution Company Ltd (NBPDCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C. More than 70 % of feeder is segregated.,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,,,mix,,Yes,"Both electric and diesel pumps are present. With more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM. PM-KUSUM B for diesel pumps.","Both electric and diesel pumps are present. With more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM. PM-KUSUM B for diesel pumps. Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred",PM-KUSUM model B and C (IPS and FLS) +  DISCOM
uttar pradesh,Gorakhpur,4.71,71.07,163.30,69.60,75.85,High,Moderate,High,Very High,"District has High proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is High with Very High irrigation water requirements.",78.69,63.42,SR,5974.00,21.72,0.71,Very High,Moderate,4,"Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Moderate. There are 5974 surface water bodies, covering 0.7% of district area.",100.00,2.00,94,561.8155,0.00,4.70,4,0.074368,0.00,"District has 100 pumps, with 2 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 561 MCM of groundwater.",96.83,0.55,1.63,Very High,4.00,Moderate,Small and Marginal farmers hold 96 % of holdings. The average area per holding is 0.55 ha with Moderate fragmentation of land.,Purvanchal Vidyut Vitran Nigam Limited (PuVVNL),,C-,Yes,More than 70 % of feeder is segregated.,0.00,Very High,Purvanchal Vidyut Vitran Nigam Limited (PuVVNL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C-. More than 70 % of feeder is segregated.,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred, High groundwater development suggests that new SIPs should focus on surface water sources. ,Yes,Diesel,,Yes,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred.,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred. High groundwater development suggests that new SIPs should focus on surface water sources.  Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,PM-KUSUM B
karnataka,Gulbarga,5.34,81.33,122.90,12.50,48.77,Very High,Low,Low,High,"District has Very High proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Low with High irrigation water requirements.",43.01,41.06,HR,527.00,5.39,0.05,Moderate,Low,2,"Groundwater contribution to irrigation is Moderate with current groundwater development stage classified as Low. There are 527 surface water bodies, covering 0% of district area.",100.00,100.00,0,509.2097,0.00,6.40,1,0.278,0.01,"District has 100 pumps, with 100 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 509 MCM of groundwater.",61.75,2.13,1.83,High,2.00,Moderate,Small and Marginal farmers hold 61 % of holdings. The average area per holding is 2.13 ha with Moderate fragmentation of land.,Gulbarga Electricity Supply Company Limited (GESCOM),,C,Yes,More than 70 % of feeder is segregated.,0.00,Very High,Gulbarga Electricity Supply Company Limited (GESCOM) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C. More than 70 % of feeder is segregated.,,,,,Electric,,Yes,"Electric pump proportion is higher, with more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM.","Electric pump proportion is higher, with more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM.",PM-KUSUM model C (IPS and FLS) + DISCOM
jharkhand,Gumla,5.12,24.65,174.20,5.80,35.93,Low,Moderate,Low,Moderate,"District has Low proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is Low with Moderate irrigation water requirements.",75.55,17.84,HR,6465.00,24.87,0.46,Very High,Low,4,"Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Low. There are 6465 surface water bodies, covering 0.5% of district area.",100.00,37.00,31,56.0305,95.00,5.50,3,0.125552,0.00,"District has 100 pumps, with 37 % of pumps being electric. The electric tariff subsidy is High. These pumps abstract 56 MCM of groundwater.",77.87,1.56,1.38,High,3.00,Moderate,Small and Marginal farmers hold 77 % of holdings. The average area per holding is 1.56 ha with Moderate fragmentation of land.,Jharkhand Bijli Vitran Nigam Limited (JBVNL),,C-,No,,95.00,High,Jharkhand Bijli Vitran Nigam Limited (JBVNL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C-. ,,, High groundwater development suggests that new SIPs should focus on surface water sources. ,Yes,mix,,No,Both electric and diesel pumps are present.  Low DISCOM rating and low feeder segregation suggests that implementing PM-KUSUM C model may be challenging. Existing diesel pumps can be prioritised under PM-KUSUM B while investments are made to strengthen DISCOM and feeder segregations. ,Both electric and diesel pumps are present.  Low DISCOM rating and low feeder segregation suggests that implementing PM-KUSUM C model may be challenging. Existing diesel pumps can be prioritised under PM-KUSUM B while investments are made to strengthen DISCOM and feeder segregations.  High groundwater development suggests that new SIPs should focus on surface water sources. ,PM-KUSUM B + DISCOM
madhya pradesh,Guna,5.25,53.65,188.10,47.20,69.81,High,High,Moderate,Very High,"District has High proportion of area under cultivation, supporting High cropping intensity. Irrigation coverage is Moderate with Very High irrigation water requirements.",61.36,64.96,HR,1212.00,70.11,1.09,High,Moderate,4,"Groundwater contribution to irrigation is High with current groundwater development stage classified as Moderate. There are 1212 surface water bodies, covering 1.1% of district area.",100.00,100.00,0,502.1989,135.00,12.10,1,0.278,0.02,"District has 100 pumps, with 100 % of pumps being electric. The electric tariff subsidy is High. These pumps abstract 502 MCM of groundwater.",70.01,1.84,1.80,High,3.00,Moderate,Small and Marginal farmers hold 70 % of holdings. The average area per holding is 1.84 ha with Moderate fragmentation of land.,Madhya Pradesh Madhya Kshetra Vidyut Vidyut Vitaran Company Limited (MPMKVVCL),,B,Yes,More than 70 % of feeder is segregated.,135.00,High,Madhya Pradesh Madhya Kshetra Vidyut Vidyut Vitaran Company Limited (MPMKVVCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B. More than 70 % of feeder is segregated.,,,,,Electric,High,Yes,High DISCOM rating alongside feeder segregation and higher proportion of electric pumps suggests both PM-KUSUM model C (IPS and FLS) may be preferred.,High DISCOM rating alongside feeder segregation and higher proportion of electric pumps suggests both PM-KUSUM model C (IPS and FLS) may be preferred.,PM-KUSUM model C (IPS and FLS) 
andhra pradesh,Guntur,5.19,50.18,126.10,64.90,65.79,High,Low,High,High,"District has High proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is High with High irrigation water requirements.",19.60,19.34,HR,3466.00,103.23,0.89,Low,Low,4,"Groundwater contribution to irrigation is Low with current groundwater development stage classified as Low. There are 3466 surface water bodies, covering 0.9% of district area.",100.00,91.00,9,106.5225,0.00,4.80,1,0.259568,0.00,"District has 100 pumps, with 91 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 106 MCM of groundwater.",92.51,0.81,1.42,Very High,4.00,Moderate,Small and Marginal farmers hold 92 % of holdings. The average area per holding is 0.81 ha with Moderate fragmentation of land.,Southern Power Distribution Company of Andhra Pradesh Limited (APSPDCL),,B-,Yes,More than 70 % of feeder is segregated.,0.00,Very High,Southern Power Distribution Company of Andhra Pradesh Limited (APSPDCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B-. More than 70 % of feeder is segregated.,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,,,Electric,,Yes,"Electric pump proportion is higher, with more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM.","Electric pump proportion is higher, with more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM. Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred",PM-KUSUM model C (IPS and FLS) + DISCOM
punjab,Gurdaspur,4.64,81.25,197.10,95.30,54.84,Very High,High,Very High,High,"District has Very High proportion of area under cultivation, supporting High cropping intensity. Irrigation coverage is Very High with High irrigation water requirements.",90.64,141.99,SR,1484.00,7.16,0.27,Very High,Over-exploited,2,"Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Over-exploited. There are 1484 surface water bodies, covering 0.3% of district area.",100.00,90.00,10,535.5249,0.00,7.50,1,0.25752,0.01,"District has 100 pumps, with 90 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 535 MCM of groundwater.",0.00,2.60,1.23,Low,2.00,Low,Small and Marginal farmers hold 0 % of holdings. The average area per holding is 2.59878121243108 ha with Low fragmentation of land.,Punjab State Power Corporation Limited (PSPCL),,B,Yes,More than 70 % of feeder is segregated.,0.00,Very High,Punjab State Power Corporation Limited (PSPCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B. More than 70 % of feeder is segregated.,,, High groundwater development suggests that new SIPs should focus on surface water sources. ,Yes,Electric,High,Yes,High DISCOM rating alongside feeder segregation and need for groundwater management suggests PM-KUSUM model C (IPS) may be preferred to incentivise groundwater conservation. Model C (FLS) may be promoted with appropriate innovation to incentivise groundwater conservation.,High DISCOM rating alongside feeder segregation and need for groundwater management suggests PM-KUSUM model C (IPS) may be preferred to incentivise groundwater conservation. Model C (FLS) may be promoted with appropriate innovation to incentivise groundwater conservation. High groundwater development suggests that new SIPs should focus on surface water sources. ,PM-KUSUM model C (IPS)
haryana,Gurgaon,4.86,97.77,179.50,99.40,74.65,Very High,Moderate,Very High,Very High,"District has Very High proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is Very High with Very High irrigation water requirements.",77.39,214.00,SR,535.00,1.64,0.12,Very High,Over-exploited,1,"Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Over-exploited. There are 535 surface water bodies, covering 0.1% of district area.",100.00,100.00,0,431.9349,10.00,30.30,1,0.278,0.03,"District has 100 pumps, with 100 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 431 MCM of groundwater.",79.75,1.47,1.00,High,3.00,Low,Small and Marginal farmers hold 79 % of holdings. The average area per holding is 1.47 ha with Low fragmentation of land.,Dakshin Haryana Bijli Vitran Nigam Limited (DHBVNL),,A,Yes,More than 70 % of feeder is segregated.,10.00,Very High,Dakshin Haryana Bijli Vitran Nigam Limited (DHBVNL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is A. More than 70 % of feeder is segregated.,,, High groundwater development suggests that new SIPs should focus on surface water sources. ,Yes,Electric,High,Yes,High DISCOM rating alongside feeder segregation and need for groundwater management suggests PM-KUSUM model C (IPS) may be preferred to incentivise groundwater conservation. Model C (FLS) may be promoted with appropriate innovation to incentivise groundwater conservation.,High DISCOM rating alongside feeder segregation and need for groundwater management suggests PM-KUSUM model C (IPS) may be preferred to incentivise groundwater conservation. Model C (FLS) may be promoted with appropriate innovation to incentivise groundwater conservation. High groundwater development suggests that new SIPs should focus on surface water sources. ,PM-KUSUM model C (IPS)
