District,Text-Crop,Text-Water,Text-Energy,Text-Farmer,Text-Utilty,Text-Model
Alipurduar,"District has Moderate proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is Low with Low irrigation water requirements.","Groundwater contribution to irrigation is High with current groundwater development stage classified as Low. There are 1348 surface water bodies, covering 0.1% of district area.","District has 100 pumps, with 0 % of pumps being electric. The electric tariff subsidy is Low. These pumps abstract 399 MCM of groundwater.",Small and Marginal farmers hold 97 % of holdings. The average area per holding is 0.74 ha with Moderate fragmentation of land.,West Bengal State Electricity Distribution Company Limited (WBSEDCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B-.,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred.
Alirajpur,"District has Moderate proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Low with Very High irrigation water requirements.","Groundwater contribution to irrigation is High with current groundwater development stage classified as Low. There are 803 surface water bodies, covering 0.8% of district area.","District has 100 pumps, with 98 % of pumps being electric. The electric tariff subsidy is High. These pumps abstract 86 MCM of groundwater.",Small and Marginal farmers hold 73 % of holdings. The average area per holding is 1.6 ha with Very High fragmentation of land.,Madhya Pradesh Paschim Kshetra Vidyut Company Limited (MPPaKVVCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is A. More than 70 % of feeder is segregated.,High DISCOM rating alongside feeder segregation and higher proportion of electric pumps suggests both PM-KUSUM model C (IPS and FLS) may be preferred.
Allahabad,"District has High proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is Very High with Very High irrigation water requirements.","Groundwater contribution to irrigation is High with current groundwater development stage classified as Semi-critical. There are 7565 surface water bodies, covering 1.1% of district area.","District has 100 pumps, with 41 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 942 MCM of groundwater.",Small and Marginal farmers hold 93 % of holdings. The average area per holding is 0.69 ha with Moderate fragmentation of land.,Purvanchal Vidyut Vitran Nigam Limited (PuVVNL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C-. More than 70 % of feeder is segregated.,"Both electric and diesel pumps are present. With more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM. PM-KUSUM B for diesel pumps."
Almora,"District has Low proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is Low with Moderate irrigation water requirements.","Groundwater contribution to irrigation is Low with current groundwater development stage classified as Low. There are 178 surface water bodies, covering 0% of district area.","District has 100 pumps, with 89 % of pumps being electric. The electric tariff subsidy is Moderate. These pumps abstract 957 MCM of groundwater.",Small and Marginal farmers hold 95 % of holdings. The average area per holding is 0.86 ha with Very High fragmentation of land.,Uttarakhand Power Corporation Limited (UPCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B-. More than 70 % of feeder is segregated.,"Electric pump proportion is higher, with more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM."
Alwar,"District has High proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is High with High irrigation water requirements.","Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Over-exploited. There are 2 surface water bodies, covering 0.1% of district area.","District has 100 pumps, with 100 % of pumps being electric. The electric tariff subsidy is Moderate. These pumps abstract 1314 MCM of groundwater.",Small and Marginal farmers hold 84 % of holdings. The average area per holding is 1.17 ha with Very High fragmentation of land.,Jaipur Vidyut Vitran Nigam Limited (JVVNL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B.,High DISCOM rating alongside feeder segregation and need for groundwater management suggests PM-KUSUM model C (IPS) may be preferred to incentivise groundwater conservation. Model C (FLS) may be promoted with appropriate innovation to incentivise groundwater conservation.
Ambala,"District has Very High proportion of area under cultivation, supporting High cropping intensity. Irrigation coverage is Very High with High irrigation water requirements.","Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Over-exploited. There are 775 surface water bodies, covering 0.3% of district area.","District has 100 pumps, with 100 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 486 MCM of groundwater.",Small and Marginal farmers hold 72 % of holdings. The average area per holding is 1.84 ha with Low fragmentation of land.,Uttar Haryana Bijli Vitran Nigam Limited (UHBVNL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is A+. More than 70 % of feeder is segregated.,High DISCOM rating alongside feeder segregation and need for groundwater management suggests PM-KUSUM model C (IPS) may be preferred to incentivise groundwater conservation. Model C (FLS) may be promoted with appropriate innovation to incentivise groundwater conservation.
Ambedkar Nagar,"District has High proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is Very High with Very High irrigation water requirements.","Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Moderate. There are 3316 surface water bodies, covering 0.6% of district area.","District has 100 pumps, with 43 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 725 MCM of groundwater.",Small and Marginal farmers hold 97 % of holdings. The average area per holding is 0.51 ha with Moderate fragmentation of land.,Madhyanchal Vidyut Vitran Nigam Limited (MVVNL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C-. More than 70 % of feeder is segregated.,Both electric and diesel pumps are present.  Low DISCOM rating and low feeder segregation suggests that implementing PM-KUSUM C model may be challenging. Existing diesel pumps can be prioritised under PM-KUSUM B while investments are made to strengthen DISCOM and feeder segregations.
Amethi,"District has High proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is Very High with Very High irrigation water requirements.","Groundwater contribution to irrigation is High with current groundwater development stage classified as Moderate. There are 3283 surface water bodies, covering 0.4% of district area.","District has 100 pumps, with 5 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 940 MCM of groundwater.",Small and Marginal farmers hold 96 % of holdings. The average area per holding is 0.56 ha with Moderate fragmentation of land.,Madhyanchal Vidyut Vitran Nigam Limited (MVVNL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C-. More than 70 % of feeder is segregated.,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred.
Amravati,"District has High proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Low with High irrigation water requirements.","Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Semi-critical. There are 1699 surface water bodies, covering 0.7% of district area.","District has 100 pumps, with 60 % of pumps being electric. The electric tariff subsidy is Moderate. These pumps abstract 737 MCM of groundwater.",Small and Marginal farmers hold 74 % of holdings. The average area per holding is 1.6 ha with Moderate fragmentation of land.,Maharashtra State Electricity Distribution Company Limited (MSEDCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C. More than 70 % of feeder is segregated.,"Electric pump proportion is higher, with more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM. High groundwater development suggests PM-KUSUM (IPS) may be preferred to incentivise groundwater conservation."
Amreli,"District has Very High proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Moderate with Very High irrigation water requirements.","Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Moderate. There are 1876 surface water bodies, covering 0.5% of district area.","District has 100 pumps, with 100 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 748 MCM of groundwater.",Small and Marginal farmers hold 60 % of holdings. The average area per holding is 2.2 ha with Low fragmentation of land.,Paschim Gujarat Vij Company Limited (PGVCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is A+. More than 70 % of feeder is segregated.,High DISCOM rating alongside feeder segregation and need for groundwater management suggests PM-KUSUM model C (IPS) may be preferred to incentivise groundwater conservation. Model C (FLS) may be promoted with appropriate innovation to incentivise groundwater conservation.
Amritsar,"District has Very High proportion of area under cultivation, supporting High cropping intensity. Irrigation coverage is Very High with High irrigation water requirements.","Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Over-exploited. There are 1055 surface water bodies, covering 0.3% of district area.","District has 100 pumps, with 100 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 116 MCM of groundwater.",Small and Marginal farmers hold 33 % of holdings. The average area per holding is 3.58 ha with Low fragmentation of land.,Punjab State Power Corporation Limited (PSPCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B. More than 70 % of feeder is segregated.,High DISCOM rating alongside feeder segregation and need for groundwater management suggests PM-KUSUM model C (IPS) may be preferred to incentivise groundwater conservation. Model C (FLS) may be promoted with appropriate innovation to incentivise groundwater conservation.
Amroha,"District has High proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is Very High with Very High irrigation water requirements.","Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Semi-critical. There are 1456 surface water bodies, covering 0% of district area.","District has 100 pumps, with 14 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 452 MCM of groundwater.",Small and Marginal farmers hold 90 % of holdings. The average area per holding is 0.84 ha with Moderate fragmentation of land.,Paschimanchal Vidyut Vitran Nigam Limited (PVVNL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B. More than 70 % of feeder is segregated.,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred.
Anand,"District has High proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is Very High with Very High irrigation water requirements.","Groundwater contribution to irrigation is High with current groundwater development stage classified as Low. There are 1634 surface water bodies, covering 1.3% of district area.","District has 100 pumps, with 20 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 245 MCM of groundwater.",Small and Marginal farmers hold 89 % of holdings. The average area per holding is 1 ha with Low fragmentation of land.,Madhya Gujarat Vij Company Limited (MGVCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is A+. More than 70 % of feeder is segregated.,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred.
Anantapur,"District has Moderate proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Low with Very High irrigation water requirements.","Groundwater contribution to irrigation is High with current groundwater development stage classified as Low. There are 50537 surface water bodies, covering 2.6% of district area.","District has 100 pumps, with 100 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 389 MCM of groundwater.",Small and Marginal farmers hold 72 % of holdings. The average area per holding is 1.59 ha with Moderate fragmentation of land.,Southern Power Distribution Company of Andhra Pradesh Limited (APSPDCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B-. More than 70 % of feeder is segregated.,"Electric pump proportion is higher, with more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM. High groundwater development suggests PM-KUSUM (IPS) may be preferred to incentivise groundwater conservation."
Anantnag,"District has High proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is High with High irrigation water requirements.","Groundwater contribution to irrigation is Low with current groundwater development stage classified as Low. There are 161 surface water bodies, covering 0% of district area.","District has 100 pumps, with 93 % of pumps being electric. The electric tariff subsidy is Moderate. These pumps abstract 55 MCM of groundwater.",Small and Marginal farmers hold 99 % of holdings. The average area per holding is 0.41 ha with High fragmentation of land.,No data on DISCOM,No data on DISCOM feeder segregation
Anjaw,"District has Moderate proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Low with Low irrigation water requirements.","Groundwater contribution to irrigation is Low with current groundwater development stage classified as Low. There are 0 surface water bodies, covering 0% of district area.","District has 100 pumps, with 0 % of pumps being electric. The electric tariff subsidy is Moderate. These pumps abstract 0 MCM of groundwater.",Small and Marginal farmers hold 53 % of holdings. The average area per holding is 3.9 ha with High fragmentation of land.,No data on DISCOM,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred.
Anugul,"District has Low proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Low with Moderate irrigation water requirements.","Groundwater contribution to irrigation is Moderate with current groundwater development stage classified as Moderate. There are 1102 surface water bodies, covering 3.3% of district area.","District has 100 pumps, with 0 % of pumps being electric. The electric tariff subsidy is High. These pumps abstract 0 MCM of groundwater.",Small and Marginal farmers hold 96 % of holdings. The average area per holding is 0.66 ha with Moderate fragmentation of land.,TP Central Odisha Distribution Limited (TPCODL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is A+.,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred.
Anuppur,"District has Moderate proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Low with High irrigation water requirements.","Groundwater contribution to irrigation is Moderate with current groundwater development stage classified as Low. There are 2962 surface water bodies, covering 1.1% of district area.","District has 100 pumps, with 100 % of pumps being electric. The electric tariff subsidy is High. These pumps abstract 63 MCM of groundwater.",Small and Marginal farmers hold 76 % of holdings. The average area per holding is 1.58 ha with High fragmentation of land.,Madhya Pradesh Poorv Kshetra Vidyut Vitaran Company Limited (MPPoKVVCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B-. More than 70 % of feeder is segregated.,"Electric pump proportion is higher, with more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM."
Araria,"District has Moderate proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is High with Moderate irrigation water requirements.","Groundwater contribution to irrigation is High with current groundwater development stage classified as Low. There are 1981 surface water bodies, covering 8.2% of district area.","District has 100 pumps, with 19 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 357 MCM of groundwater.",Small and Marginal farmers hold 95 % of holdings. The average area per holding is 0.55 ha with Moderate fragmentation of land.,North Bihar Power Distribution Company Ltd (NBPDCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C. More than 70 % of feeder is segregated.,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred.
Aravalli,"District has High proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is High with Very High irrigation water requirements.","Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Low. There are 1410 surface water bodies, covering 1% of district area.","District has 100 pumps, with 91 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 359 MCM of groundwater.",Small and Marginal farmers hold 71 % of holdings. The average area per holding is 1.72 ha with High fragmentation of land.,Uttar Gujarat Vij Company Limited (UGVCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is A+. More than 70 % of feeder is segregated.,High DISCOM rating alongside feeder segregation and need for groundwater management suggests PM-KUSUM model C (IPS) may be preferred to incentivise groundwater conservation. Model C (FLS) may be promoted with appropriate innovation to incentivise groundwater conservation.
Ariyalur,"District has High proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Moderate with High irrigation water requirements.","Groundwater contribution to irrigation is High with current groundwater development stage classified as Moderate. There are 2293 surface water bodies, covering 1.8% of district area.","District has 100 pumps, with 0 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 2 MCM of groundwater.",Small and Marginal farmers hold 94 % of holdings. The average area per holding is 0.59 ha with Moderate fragmentation of land.,Tamil Nadu Generation and Distribution Corporation Limited (TANGEDCO) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C-.,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred.
Arwal,"District has Moderate proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is Very High with High irrigation water requirements.","Groundwater contribution to irrigation is High with current groundwater development stage classified as Low. There are 546 surface water bodies, covering 32.2% of district area.","District has 100 pumps, with 7 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 82 MCM of groundwater.",Small and Marginal farmers hold 96 % of holdings. The average area per holding is 0.34 ha with Low fragmentation of land.,South Bihar Power Distribution Company Limited (SBPDCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C. More than 70 % of feeder is segregated.,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred.
Ashoknagar,"District has High proportion of area under cultivation, supporting High cropping intensity. Irrigation coverage is Moderate with Very High irrigation water requirements.","Groundwater contribution to irrigation is High with current groundwater development stage classified as Moderate. There are 2182 surface water bodies, covering 4.5% of district area.","District has 100 pumps, with 90 % of pumps being electric. The electric tariff subsidy is High. These pumps abstract 232 MCM of groundwater.",Small and Marginal farmers hold 63 % of holdings. The average area per holding is 2.05 ha with Very High fragmentation of land.,Madhya Pradesh Madhya Kshetra Vidyut Vidyut Vitaran Company Limited (MPMKVVCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B. More than 70 % of feeder is segregated.,High DISCOM rating alongside feeder segregation and higher proportion of electric pumps suggests both PM-KUSUM model C (IPS and FLS) may be preferred.
Auraiya,"District has High proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is Very High with Very High irrigation water requirements.","Groundwater contribution to irrigation is High with current groundwater development stage classified as Moderate. There are 2568 surface water bodies, covering 8.3% of district area.","District has 100 pumps, with 38 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 515 MCM of groundwater.",Small and Marginal farmers hold 92 % of holdings. The average area per holding is 0.8 ha with Moderate fragmentation of land.,Dakshinanchal Vidyut Vitran Nigam Limited (DVVNL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C-.,"Both electric and diesel pumps are present. With more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM. PM-KUSUM B for diesel pumps."
Aurangabad,"District has High proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is Low with High irrigation water requirements.","Groundwater contribution to irrigation is Moderate with current groundwater development stage classified as Low. There are 1652 surface water bodies, covering 17.2% of district area.","District has 100 pumps, with 3 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 308 MCM of groundwater.",Small and Marginal farmers hold 94 % of holdings. The average area per holding is 0.53 ha with High fragmentation of land.,South Bihar Power Distribution Company Limited (SBPDCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C. More than 70 % of feeder is segregated.,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred.
Aurangabad-M,"District has High proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Low with Very High irrigation water requirements.","Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Semi-critical. There are 5683 surface water bodies, covering 3.4% of district area.","District has 100 pumps, with 99 % of pumps being electric. The electric tariff subsidy is Moderate. These pumps abstract 728 MCM of groundwater.",Small and Marginal farmers hold 81 % of holdings. The average area per holding is 1.29 ha with Moderate fragmentation of land.,Maharashtra State Electricity Distribution Company Limited (MSEDCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C. More than 70 % of feeder is segregated.,"Electric pump proportion is higher, with more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM. High groundwater development suggests PM-KUSUM (IPS) may be preferred to incentivise groundwater conservation."
