District,Adapt_new,Mitigate_new,Replace_new,Combine,Commnity_SIP
Nalgonda,High,Moderate,High,Adaptation + GW Sustainability,
South Sikkim,No Data,No Data,No Data,No Data,
Upper Subansiri,Low,Very Low,Very Low,,
West Sikkim,No Data,No Data,No Data,No Data,
Akola,High,High,Moderate,Adaptation + Mitigation,
Barmer,Very Low,High,Moderate,Mitigation,
Gulbarga,Very High,Moderate,Low,Adaptation,
Hoshangabad,Low,High,Moderate,Mitigation,
Jaisalmer,Very Low,Very Low,Moderate,,
Longding,Low,Very Low,Very Low,,
Mon,Moderate,Very Low,Very Low,,
Nashik,High,High,High,All,
Palghar,No Data,No Data,No Data,No Data,
Panch Mahals,High,Moderate,Moderate,Adaptation,
Phek,Moderate,Very Low,Very Low,,
South Garo Hills,Moderate,Low,Very Low,,
Tapi,High,Moderate,Low,Adaptation,
Tuensang,Moderate,Very Low,Very Low,,
Upper Siang,Low,Very Low,Very Low,,
Wardha,High,Low,Moderate,Adaptation,
Washim,Moderate,Low,High,GW Sustainability,
West Khasi Hills,Low,Very Low,Very Low,,
Wokha,Moderate,Very Low,Very Low,,
Lower Dibang Valley,Low,Very Low,Very Low,,
Dharwad,High,Low,Moderate,Adaptation,
Dhule,High,Moderate,High,Adaptation + GW Sustainability,
Garhchiroli,Moderate,Very Low,Low,,
Hisar,Very Low,High,High,Mitigation + GW Sustainability,
Jhajjar,Very Low,High,High,Mitigation + GW Sustainability,
Kota,Moderate,Very High,Very High,Mitigation + GW Sustainability,
Raisen,Low,Moderate,High,GW Sustainability,
Surat,Moderate,Moderate,High,GW Sustainability,
Vidisha,Low,Moderate,High,GW Sustainability,
Bauda,Very High,Very Low,Very Low,Adaptation,
Buldana,Moderate,High,High,Mitigation + GW Sustainability,
East Siang,Low,Very Low,Very Low,,
Jaintia Hills,Low,Very Low,Very Low,,
Kohima,Moderate,Very Low,Very Low,,
Kurung Kumey,Low,Very Low,Very Low,,
Mokokchung,Low,Very Low,Very Low,,
Navsari,High,High,Moderate,Adaptation + Mitigation,
Tumkur,Low,Low,High,GW Sustainability,
Y.S.R.,Moderate,Moderate,Moderate,,
Amravati,Moderate,Moderate,Moderate,,
Bharuch,Moderate,Moderate,High,GW Sustainability,
Bikaner,Low,Moderate,Moderate,,
East Nimar,Low,High,High,Mitigation + GW Sustainability,
Gumla,Low,Very Low,Low,,
Haveri,Low,Moderate,Very High,GW Sustainability,
Latur,High,High,Very High,All,
West Nimar,Moderate,High,High,Mitigation + GW Sustainability,
West Siang,Low,Very Low,Very Low,,
Yavatmal,High,Low,Low,Adaptation,
Shimoga,High,Moderate,High,Adaptation + GW Sustainability,
Adilabad,Moderate,Moderate,High,GW Sustainability,
Aligarh,Very Low,Very High,Very High,Mitigation + GW Sustainability,
Amreli,Moderate,High,Very High,Mitigation + GW Sustainability,
Bhavnagar,Moderate,High,High,Mitigation + GW Sustainability,
Bidar,Low,High,Moderate,Mitigation,
Botad,Moderate,High,Moderate,Mitigation,
Chhota Udaipur,Moderate,Very High,High,Mitigation + GW Sustainability,
Chitradurga,Very Low,Low,Very High,GW Sustainability,
Guna,Low,Very High,High,Mitigation + GW Sustainability,
Lohit,Moderate,Very Low,Very Low,,
Palwal,Moderate,High,Very High,Mitigation + GW Sustainability,
Rajkot,Low,Moderate,High,GW Sustainability,
Ranga Reddy,Moderate,High,Very High,Mitigation + GW Sustainability,
Kheda,Moderate,Very High,Very High,Mitigation + GW Sustainability,
Jalgaon,Moderate,Moderate,High,GW Sustainability,
Khammam,Moderate,High,Moderate,Mitigation,
Bhopal,Low,High,Very High,Mitigation + GW Sustainability,
Burhanpur,Very Low,High,High,Mitigation + GW Sustainability,
Churu,Very Low,Moderate,Moderate,,
Dahod,Moderate,High,High,Mitigation + GW Sustainability,
Devbhumi Dwarka,Very Low,High,High,Mitigation + GW Sustainability,
Ganganagar,Low,Moderate,Moderate,,
Jamnagar,Low,High,Moderate,Mitigation,
Mewat,Very Low,Moderate,Very High,GW Sustainability,
Morbi,Low,Very High,High,Mitigation + GW Sustainability,
Nagaur,Low,Low,Very High,GW Sustainability,
Narmada,Low,Moderate,Moderate,,
Sabar Kantha,Very Low,Very High,High,Mitigation + GW Sustainability,
Sehore,Very Low,High,High,Mitigation + GW Sustainability,
Sirsa,Very Low,Low,Very High,GW Sustainability,
Surendranagar,Low,High,High,Mitigation + GW Sustainability,
Fatehabad,Very Low,Moderate,Very High,GW Sustainability,
Gir Somnath,Low,Very High,High,Mitigation + GW Sustainability,
Jind,Very Low,Moderate,Very High,GW Sustainability,
West,Very Low,Moderate,Very High,GW Sustainability,
Chikmagalur,Moderate,Very Low,Low,,
East Sikkim,No Data,No Data,No Data,No Data,
Bhiwani,Very Low,High,Very High,Mitigation + GW Sustainability,
Junagadh,Very Low,Very High,Very High,Mitigation + GW Sustainability,
Vadodara,Low,High,Very High,Mitigation + GW Sustainability,
Erode,Low,Moderate,Very High,GW Sustainability,
Baran,Very Low,High,High,Mitigation + GW Sustainability,
Gandhinagar,Low,Very High,Very High,Mitigation + GW Sustainability,
Jalor,Very Low,Low,Very High,GW Sustainability,
Jhunjhunun,Very Low,Moderate,Very High,GW Sustainability,
Jodhpur,Very Low,Low,Very High,GW Sustainability,
Kodagu,Moderate,Low,Low,,
Panchkula,Very Low,High,Very High,Mitigation + GW Sustainability,
Peren,Low,Very Low,Very Low,,
Porbandar,Very Low,Very High,Very High,Mitigation + GW Sustainability,
The Dangs,Low,Moderate,Low,,
Ambala,Very Low,Low,Very High,GW Sustainability,
Sonipat,Very Low,Moderate,Very High,GW Sustainability,
Gurgaon,Very Low,High,Very High,Mitigation + GW Sustainability,
Kaithal,Very Low,Very High,Very High,Mitigation + GW Sustainability,
Panipat,Very Low,High,Very High,Mitigation + GW Sustainability,
Barnala,Very Low,Very High,Very High,Mitigation + GW Sustainability,
Bijapur-K,Low,Very Low,Low,,
Kachchh,Very Low,Moderate,Moderate,,
Mahendragarh,Very Low,High,Very High,Mitigation + GW Sustainability,
Patan,Very Low,High,Very High,Mitigation + GW Sustainability,
Ahmadabad,Very Low,High,High,Mitigation + GW Sustainability,
Fazilka,Very Low,Low,High,GW Sustainability,
Karnal,Very Low,High,Very High,Mitigation + GW Sustainability,
Kurukshetra,Very Low,High,Very High,Mitigation + GW Sustainability,
Rewari,Very Low,High,Very High,Mitigation + GW Sustainability,
Mahesana,Very Low,Very High,Very High,Mitigation + GW Sustainability,
North Sikkim,No Data,No Data,No Data,No Data,
Faridabad,Very Low,High,Very High,Mitigation + GW Sustainability,
Faridkot,Very Low,Low,High,GW Sustainability,
Bathinda,Very Low,Low,Very High,GW Sustainability,
Firozpur,Very Low,Low,Very High,GW Sustainability,
Mansa,Very Low,High,High,Mitigation + GW Sustainability,
Muktsar,Low,Moderate,Moderate,,
Patiala,Very Low,High,Very High,Mitigation + GW Sustainability,
Pathankot,Very Low,Low,Moderate,,
Banas Kantha,Very Low,Very High,Very High,Mitigation + GW Sustainability,
Gurdaspur,Very Low,Low,Very High,GW Sustainability,
Rupnagar,Very Low,Very High,High,Mitigation + GW Sustainability,
Amritsar,Very Low,High,Very High,Mitigation + GW Sustainability,
Ludhiana,Very Low,Moderate,Very High,GW Sustainability,
Sangrur,Very Low,High,Very High,Mitigation + GW Sustainability,
Hoshiarpur,Very Low,Low,Very High,GW Sustainability,
Kapurthala,Very Low,Low,Very High,GW Sustainability,
Tarn Taran,Very Low,Low,Very High,GW Sustainability,
Jalandhar,Very Low,High,Very High,Mitigation + GW Sustainability,
Fatehgarh Sahib,Very Low,High,Very High,Mitigation + GW Sustainability,
Moga,Very Low,High,Very High,Mitigation + GW Sustainability,
Shahid Bhagat Singh Nagar,Very Low,Low,Very High,GW Sustainability,
Sahibzada Ajit Singh Nagar,Very Low,Very Low,Very High,GW Sustainability,
Palghar,No Data,No Data,No Data,No Data,
Aurangabad,Very High,Very High,Low,Adaptation + Mitigation,Community SIP
Churachandpur,Very High,Low,Very Low,Adaptation,Community SIP
Hailakandi,Very High,Moderate,Low,Adaptation,Community SIP
Imphal East,Very High,Low,Very Low,Adaptation,Community SIP
Godda,Very High,Moderate,Low,Adaptation,Community SIP
Imphal West,Very High,Moderate,Very Low,Adaptation,Community SIP
Madhubani,Very High,Very High,Moderate,Adaptation + Mitigation,Community SIP
Chatra,Very High,High,Moderate,Adaptation + Mitigation,Community SIP
Hazaribagh,High,High,Very Low,Adaptation + Mitigation,Community SIP
Arwal,High,Very High,Moderate,Adaptation + Mitigation,Community SIP
Banka,High,High,Moderate,Adaptation + Mitigation,Community SIP
Bankura,Very High,Moderate,Low,Adaptation,Community SIP
Bhojpur,High,Very High,Moderate,Adaptation + Mitigation,Community SIP
Birbhum,Very High,High,Moderate,Adaptation + Mitigation,Community SIP
Cachar,Very High,Very Low,Very Low,Adaptation,Community SIP
Gaya,High,Very High,Low,Adaptation + Mitigation,Community SIP
Gopalganj,Very High,Very High,Moderate,Adaptation + Mitigation,Community SIP
Jhabua,Very High,High,Moderate,Adaptation + Mitigation,Community SIP
Kodarma,High,High,Moderate,Adaptation + Mitigation,Community SIP
Sivasagar,Very High,Very Low,Very Low,Adaptation,Community SIP
Surguja,High,Moderate,Low,Adaptation,Community SIP
Darjiling,Very High,Low,Very Low,Adaptation,Community SIP
Darrang,Very High,Very Low,Very Low,Adaptation,Community SIP
Karimganj,Very High,Low,Very Low,Adaptation,Community SIP
Morigaon,Very High,Moderate,Very Low,Adaptation,Community SIP
Cuttack,Very High,Moderate,Very Low,Adaptation,Community SIP
Ganjam,Very High,Moderate,Low,Adaptation,Community SIP
Golaghat,Very High,Very Low,Very Low,Adaptation,Community SIP
Kolhapur,Very High,Low,Low,Adaptation,Community SIP
Madhepura,Moderate,Moderate,Low,,Community SIP
Raigarh,Very High,Very Low,Low,Adaptation,Community SIP
Udalguri,Very High,Very Low,Very Low,Adaptation,Community SIP
Uttar Bastar Kanker,Moderate,Low,Very Low,,Community SIP
Vizianagaram,Very High,Low,Moderate,Adaptation,Community SIP
Araria,Moderate,Very High,Low,Mitigation,Community SIP
Ariyalur,High,Very High,Low,Adaptation + Mitigation,Community SIP
Banswara,Very High,High,Low,Adaptation + Mitigation,Community SIP
Bhandara,Very High,Moderate,Low,Adaptation,Community SIP
Buxar,High,Very High,Moderate,Adaptation + Mitigation,Community SIP
Champhai,Very High,Very Low,Very Low,Adaptation,Community SIP
Jamui,High,Moderate,Low,Adaptation,Community SIP
Kendujhar,Very High,Very Low,Very Low,Adaptation,Community SIP
Krishna,Very High,High,High,All,Community SIP
Nadia,Moderate,High,High,Mitigation + GW Sustainability,Community SIP
Purbi Singhbhum,High,High,Low,Adaptation + Mitigation,Community SIP
Purnia,Moderate,Very High,Moderate,Mitigation,Community SIP
Rohtas,Moderate,High,Low,Mitigation,Community SIP
Shahdol,High,Moderate,Low,Adaptation,Community SIP
Sheikhpura,Moderate,Very High,High,Mitigation + GW Sustainability,Community SIP
Siwan,Moderate,High,Moderate,Mitigation,Community SIP
South 24 Parganas,Very High,Moderate,Low,Adaptation,Community SIP
Yanam,Very High,Low,Very Low,Adaptation,Community SIP
Anugul,High,Low,Low,Adaptation,Community SIP
Balaghat,High,Moderate,Moderate,Adaptation,Community SIP
Baloda Bazar,High,Low,Low,Adaptation,Community SIP
Banda,High,Very High,Low,Adaptation + Mitigation,Community SIP
Gariaband,High,Very Low,Moderate,Adaptation,Community SIP
Jharsuguda,Very High,Very Low,Very Low,Adaptation,Community SIP
Lalitpur,Moderate,High,Low,Mitigation,Community SIP
Mahasamund,High,Very Low,Low,Adaptation,Community SIP
Palamu,Moderate,Moderate,Low,,Community SIP
Puruliya,Very High,Very Low,Low,Adaptation,Community SIP
Srikakulam,Very High,Moderate,Moderate,Adaptation,Community SIP
Ajmer,High,Moderate,Very High,Adaptation + GW Sustainability,Community SIP
Alirajpur,High,Moderate,Low,Adaptation,Community SIP
Dima Hasao,High,Very Low,Very Low,Adaptation,Community SIP
Dindori,High,Low,Low,Adaptation,Community SIP
Dumka,Moderate,Low,Low,,Community SIP
East Garo Hills,High,Very Low,Very Low,Adaptation,Community SIP
Goalpara,High,Very Low,Very Low,Adaptation,Community SIP
Guntur,High,Moderate,Low,Adaptation,Community SIP
Hamirpur-UP,Low,Moderate,Low,,Community SIP
Haora,Very High,High,Low,Adaptation + Mitigation,Community SIP
Jajapur,High,Very Low,Low,Adaptation,Community SIP
Kamrup,High,Moderate,Very Low,Adaptation,Community SIP
Koraput,Very High,Low,Very Low,Adaptation,Community SIP
Mandla,Very High,Low,Low,Adaptation,Community SIP
Nagaon,High,Low,Low,Adaptation,Community SIP
North Garo Hills,Very High,Very Low,Very Low,Adaptation,Community SIP
Pashchim Champaran,Low,High,Low,Mitigation,Community SIP
Sitamarhi,Low,Very High,Very High,Mitigation + GW Sustainability,Community SIP
Supaul,Moderate,High,Low,Mitigation,Community SIP
Gondiya,Very High,Low,Low,Adaptation,Community SIP
Mahe,High,High,Low,Adaptation + Mitigation,Community SIP
Patna,Low,High,Low,Mitigation,Community SIP
Sahibganj,Moderate,Low,Very Low,,Community SIP
Sangli,Very High,Moderate,High,Adaptation + GW Sustainability,Community SIP
Saran,Low,Very High,Moderate,Mitigation,Community SIP
Singrauli,Moderate,Moderate,Moderate,,Community SIP
Anuppur,High,Low,Low,Adaptation,Community SIP
Balrampur,Moderate,Very Low,Low,,Community SIP
Bastar,High,Very Low,Low,Adaptation,Community SIP
Jalaun,Moderate,High,Moderate,Mitigation,Community SIP
Khordha,Very High,Very Low,Very Low,Adaptation,Community SIP
Nayagarh,Very High,Very Low,Low,Adaptation,Community SIP
Baksa,High,Moderate,Very Low,Adaptation,Community SIP
Balod,High,Very Low,Moderate,Adaptation,Community SIP
Bhadrak,Very High,Very Low,Low,Adaptation,Community SIP
Chirang,High,Low,Very Low,Adaptation,Community SIP
Debagarh,Very High,Very Low,Very Low,Adaptation,Community SIP
Dhanbad,High,Very Low,Low,Adaptation,Community SIP
Dhenkanal,High,Very Low,Very Low,Adaptation,Community SIP
Dibrugarh,High,Low,Very Low,Adaptation,Community SIP
Garhwa,Moderate,Low,Low,,Community SIP
Hassan,Very High,Low,High,Adaptation + GW Sustainability,Community SIP
Jalpaiguri,High,Low,Very Low,Adaptation,Community SIP
Kaimur,Low,High,Moderate,Mitigation,Community SIP
Kendrapara,High,Very Low,Very Low,Adaptation,Community SIP
Kishanganj,Low,High,Low,Mitigation,Community SIP
Korba,Moderate,Very Low,Very Low,,Community SIP
Mysore,High,Low,Low,Adaptation,Community SIP
Nalanda,Low,Very High,High,Mitigation + GW Sustainability,Community SIP
North and Middle Andaman,High,Very Low,Very Low,Adaptation,Community SIP
Pakur,High,Low,Low,Adaptation,Community SIP
Purba Champaran,Low,High,Moderate,Mitigation,Community SIP
Puri,High,Very Low,Low,Adaptation,Community SIP
Ramban,High,Low,Very Low,Adaptation,Community SIP
Saharsa,Low,Very High,Moderate,Mitigation,Community SIP
Satara,Very High,Moderate,High,Adaptation + GW Sustainability,Community SIP
Sonbhadra,Moderate,Moderate,Low,,Community SIP
South Goa,Very High,Low,Moderate,Adaptation,Community SIP
Umaria,High,High,High,All,Community SIP
Wayanad,Very High,Low,Moderate,Adaptation,Community SIP
Bongaigaon,High,High,Very Low,Adaptation + Mitigation,Community SIP
Champawat,High,Moderate,Very Low,Adaptation,Community SIP
Dantewada,Moderate,Very Low,Very Low,,Community SIP
Kondagaon,Moderate,Very Low,Very Low,,Community SIP
Lahul & Spiti,Low,Very Low,Very Low,,Community SIP
Mahoba,Low,Moderate,Moderate,,Community SIP
Nalbari,High,Moderate,Low,Adaptation,Community SIP
South Andaman,Very High,Very Low,Low,Adaptation,Community SIP
East Godavari,High,Moderate,Moderate,Adaptation,Community SIP
Mungeli,High,Moderate,High,Adaptation + GW Sustainability,Community SIP
Pathanamthitta,Very High,Low,Low,Adaptation,Community SIP
Balrampur-UP,Moderate,Moderate,Low,,Community SIP
Bandipore,Very High,Low,Low,Adaptation,Community SIP
Darbhanga,Low,High,High,Mitigation + GW Sustainability,Community SIP
Deoria,Low,Very High,High,Mitigation + GW Sustainability,Community SIP
Dhubri,High,Moderate,Very Low,Adaptation,Community SIP
Gorakhpur,Low,Very High,Low,Mitigation,Community SIP
Jashpur,Moderate,Very Low,Low,,Community SIP
Jhansi,Low,High,Moderate,Mitigation,Community SIP
Kamrup Metropolitan,Moderate,Very Low,Very Low,,Community SIP
Khowai,Very High,Very Low,Low,Adaptation,Community SIP
Kullu,High,Very Low,Very Low,Adaptation,Community SIP
Maharajganj,Moderate,Very High,Moderate,Mitigation,Community SIP
Mandi,Moderate,Very Low,Very Low,,Community SIP
Munger,Low,High,Low,Mitigation,Community SIP
Muzaffarpur,Low,High,Moderate,Mitigation,Community SIP
Rajouri,High,Low,Very Low,Adaptation,Community SIP
Seoni,Moderate,High,Low,Mitigation,Community SIP
Sheohar,Very Low,Very High,Moderate,Mitigation,Community SIP
Siddharth Nagar,Moderate,Very High,Moderate,Mitigation,Community SIP
Simdega,Low,Very Low,Low,,Community SIP
Sonitpur,Moderate,Low,Very Low,,Community SIP
Tawang,High,Very Low,Very Low,Adaptation,Community SIP
The Nilgiris,High,Very Low,Low,Adaptation,Community SIP
Thiruvananthapuram,Very High,Moderate,Low,Adaptation,Community SIP
Unokoti,Very High,Very Low,Low,Adaptation,Community SIP
Alipurduar,Moderate,High,Very Low,Mitigation,Community SIP
Auraiya,Moderate,Very High,High,Mitigation + GW Sustainability,Community SIP
Badgam,Moderate,High,Very Low,Mitigation,Community SIP
Begusarai,Very Low,High,Moderate,Mitigation,Community SIP
Bhagalpur,Moderate,Moderate,Moderate,,Community SIP
Bilaspur,Moderate,Very Low,Low,,Community SIP
Chamoli,Moderate,Low,Low,,Community SIP
Deoghar,Moderate,Low,Low,,Community SIP
Janjgir-Champa,Moderate,Low,Moderate,,Community SIP
Karbi Anglong,Moderate,Very Low,Very Low,,Community SIP
Khagaria,Very Low,High,Moderate,Mitigation,Community SIP
Kokrajhar,Moderate,Low,Low,,Community SIP
Kottayam,Very High,Low,Low,Adaptation,Community SIP
Kulgam,High,High,Very Low,Adaptation + Mitigation,Community SIP
Lakhisarai,Low,Very High,Low,Mitigation,Community SIP
Mandya,High,Moderate,Moderate,Adaptation,Community SIP
Mayurbhanj,High,Very Low,Very Low,Adaptation,Community SIP
Murshidabad,Low,High,High,Mitigation + GW Sustainability,Community SIP
Nawada,Low,High,Low,Mitigation,Community SIP
Nellore,High,High,Moderate,Adaptation + Mitigation,Community SIP
Pratapgarh-UP,Low,Moderate,Moderate,,Community SIP
Pulwama,High,High,Low,Adaptation + Mitigation,Community SIP
Rajnandgaon,Moderate,Very Low,Moderate,,Community SIP
Ratnagiri,High,Very Low,Low,Adaptation,Community SIP
Reasi,High,Very Low,Very Low,Adaptation,Community SIP
Rewa,Low,High,Very High,Mitigation + GW Sustainability,Community SIP
Shupiyan,High,Low,Low,Adaptation,Community SIP
Sidhi,Low,Very High,High,Mitigation + GW Sustainability,Community SIP
Sindhudurg,Very High,Low,Low,Adaptation,Community SIP
Surajpur,Moderate,Very Low,Low,,Community SIP
Tehri Garhwal,High,Low,Low,Adaptation,Community SIP
Uttarkashi,Moderate,Low,Low,,Community SIP
Visakhapatnam,High,Very Low,Low,Adaptation,Community SIP
Alappuzha,High,Low,Low,Adaptation,Community SIP
Baleshwar,High,Low,Low,Adaptation,Community SIP
Baramulla,Very High,Very Low,Low,Adaptation,Community SIP
Bareilly,Very Low,Very High,High,Mitigation + GW Sustainability,Community SIP
Basti,Low,Very High,High,Mitigation + GW Sustainability,Community SIP
Bemetara,High,High,Very High,All,Community SIP
Chennai,Very Low,Very Low,Low,,Community SIP
Chitrakoot,Low,High,Moderate,Mitigation,Community SIP
Chittoor,Moderate,Moderate,Moderate,,Community SIP
Dakshin Dinajpur,High,Very High,High,All,Community SIP
Dhalai,High,Very Low,Low,Adaptation,Community SIP
Dhemaji,Moderate,Very Low,Very Low,,Community SIP
Durg,Low,Low,High,GW Sustainability,Community SIP
Ernakulam,Very High,Very Low,Low,Adaptation,Community SIP
Etah,Low,Very High,High,Mitigation + GW Sustainability,Community SIP
Jagatsinghapur,High,Very Low,Low,Adaptation,Community SIP
Jammu,High,Moderate,Low,Adaptation,Community SIP
Kabeerdham,Low,Moderate,Low,,Community SIP
Kannur,High,Moderate,Low,Adaptation,Community SIP
Kanpur Nagar,Low,Very High,Moderate,Mitigation,Community SIP
Kozhikode,High,Low,Low,Adaptation,Community SIP
Kupwara,Very High,Very Low,Very Low,Adaptation,Community SIP
Mainpuri,Very Low,Very High,Moderate,Mitigation,Community SIP
Maldah,High,Moderate,High,Adaptation + GW Sustainability,Community SIP
Pilibhit,Low,Very High,Moderate,Mitigation,Community SIP
Rae Bareli,Low,Very High,Moderate,Mitigation,Community SIP
Raipur,Moderate,Low,Moderate,,Community SIP
Ramanagara,Moderate,Low,High,GW Sustainability,Community SIP
Samastipur,Very Low,Very High,Moderate,Mitigation,Community SIP
Sitapur,Low,Very High,High,Mitigation + GW Sustainability,Community SIP
South Tripura,High,Very Low,Low,Adaptation,Community SIP
Srinagar,Moderate,Low,Low,,Community SIP
Sultanpur,Moderate,Very High,Very High,Mitigation + GW Sustainability,Community SIP
Thoothukkudi,Very High,Moderate,High,Adaptation + GW Sustainability,Community SIP
Tiruchirappalli,High,Moderate,Very High,Adaptation + GW Sustainability,Community SIP
Tirunelveli,High,Moderate,Moderate,Adaptation,Community SIP
Udhampur,Moderate,Low,Very Low,,Community SIP
West Godavari,Moderate,High,High,Mitigation + GW Sustainability,Community SIP
Anand,Low,Very High,High,Mitigation + GW Sustainability,Community SIP
Ashoknagar,Moderate,Very High,High,Mitigation + GW Sustainability,Community SIP
Bangalore Rural,Low,Low,High,GW Sustainability,Community SIP
Barpeta,Moderate,Low,Low,,Community SIP
Barwani,Low,Low,High,GW Sustainability,Community SIP
Betul,Moderate,Low,Moderate,,Community SIP
Bhind,Low,High,High,Mitigation + GW Sustainability,Community SIP
Bijapur,Low,Very Low,Very Low,,Community SIP
East Kameng,Low,Very Low,Very Low,,Community SIP
Etawah,Low,Very High,High,Mitigation + GW Sustainability,Community SIP
Farrukhabad,Very Low,Very High,Very High,Mitigation + GW Sustainability,Community SIP
Gwalior,Low,High,Moderate,Mitigation,Community SIP
Kanpur Dehat,Very Low,Very High,High,Mitigation + GW Sustainability,Community SIP
Kinnaur,Moderate,Very Low,Very Low,,Community SIP
Kolkata,No Data,No Data,No Data,No Data,Community SIP
Koriya,Low,Very Low,Very Low,,Community SIP
Nicobar Islands,High,Very Low,Very Low,Adaptation,Community SIP
North Tripura,High,Very Low,Very Low,Adaptation,Community SIP
Panna,Moderate,Low,Moderate,,Community SIP
Ramgarh,Moderate,Low,Low,,Community SIP
Rudraprayag,Moderate,Moderate,Very Low,,Community SIP
Satna,Moderate,Moderate,Very High,GW Sustainability,Community SIP
Shimla,Moderate,Very Low,Low,,Community SIP
Sirmaur,Low,Moderate,Low,,Community SIP
Budaun,Very Low,Very High,High,Mitigation + GW Sustainability,Community SIP
Giridih,Very Low,High,Very Low,Mitigation,Community SIP
Mumbai Suburban,No Data,No Data,No Data,No Data,Community SIP
Perambalur,Moderate,Low,High,GW Sustainability,Community SIP
Bahraich,Moderate,Moderate,Moderate,,Community SIP
Bundi,Low,High,Moderate,Mitigation,Community SIP
Jehanabad,Very Low,High,Moderate,Mitigation,Community SIP
Narsimhapur,Low,High,Very High,Mitigation + GW Sustainability,Community SIP
