District,Adapt,Mitigate,Replace,General_SI,1Cult_land1,1Crop_Int,1Irrig_Inte,1IWU,1GW_Irr_Sh,1GW_Dev,1no_of_SWB,1SW_body,1ElectPtg,1DieselPtg,1el_Tariff,1S_M_Hold,1ALLGrps,1ALLGrpsNo,1DISCOMNam,1DISCOMRat,1Feederseg
Arwal,High,Very High,Moderate,Adaptation + Mitigation,41.41,141.5,89.7,59.32,58.53,43.27,546.0,32.22,7.0,93.0,67.5,96.65,0.34,1.16,South Bihar Power Distribution Company Limited (SBPDCL),C,Yes
Ashoknagar,Moderate,Very High,High,Mitigation + GW Sustainability,65.75,185.0,45.6,70.12,60.8,63.02,2182.0,4.46,90.0,10.0,135.0,63.87,2.05,3.06,Madhya Pradesh Madhya Kshetra Vidyut Vidyut Vitaran Company Limited (MPMKVVCL),B,Yes
Auraiya,Moderate,Very High,High,Mitigation + GW Sustainability,72.19,174.1,85.7,79.43,57.53,56.12,2568.0,8.32,38.0,62.0,,92.93,0.8,1.85,Dakshinanchal Vidyut Vitran Nigam Limited (DVVNL),C-,No
Aurangabad,Very High,Very High,Low,Adaptation + Mitigation,66.89,150.1,,57.32,37.82,25.13,1652.0,17.17,3.0,97.0,67.5,94.48,0.53,2.34,South Bihar Power Distribution Company Limited (SBPDCL),C,Yes
Aurangabad-M,High,Very High,Very High,All,66.89,119.9,,72.05,94.54,71.64,5683.0,3.36,99.0,,155.0,81.8,1.29,1.28,Maharashtra State Electricity Distribution Company Limited (MSEDCL),C,Yes
Azamgarh,Very Low,Very High,Moderate,Mitigation,67.68,176.9,96.5,75.92,81.77,61.14,7143.0,0.66,18.0,81.0,,96.21,0.56,1.67,Purvanchal Vidyut Vitran Nigam Limited (PuVVNL),C-,Yes
Badgam,Moderate,High,Very Low,Mitigation,59.84,134.6,70.8,44.38,3.11,20.87,,,,,235.0,97.87,0.47,3.62,,,No data
Bagalkot,Moderate,High,Moderate,Mitigation,76.96,130.3,49.3,74.9,52.22,81.72,6.0,,15.0,83.0,,69.77,1.86,1.51,Hubli Electricity Supply Company Limited (HESCOM),C,Yes
Bageshwar,Moderate,Moderate,Very Low,No Data,10.16,178.4,,44.96,,,115.0,0.08,,,285.0,99.62,0.6,2.23,Uttarakhand Power Corporation Limited (UPCL),B-,Yes
Baghpat,Very Low,Very High,Very High,Mitigation + GW Sustainability,79.68,162.1,100.0,76.91,88.53,97.12,821.0,0.54,16.0,84.0,,86.97,0.96,2.41,Paschimanchal Vidyut Vitran Nigam Limited (PVVNL),B,Yes
Bahraich,Moderate,Moderate,Moderate,No Data,64.13,168.3,51.8,67.32,47.69,59.99,3230.0,0.32,82.0,18.0,,95.42,0.64,1.65,Madhyanchal Vidyut Vitran Nigam Limited (MVVNL),C-,Yes
Baksa,High,Moderate,Very Low,Adaptation,36.59,167.2,10.7,33.3,72.3,3.23,4181.0,0.18,1.0,98.0,465.0,82.72,1.24,2.76,Assam Power Distribution Company Limited (APDCL),B-,No
Balaghat,High,Moderate,Moderate,Adaptation,34.18,120.8,51.0,69.9,15.99,23.5,5011.0,0.61,95.0,4.0,135.0,89.81,0.81,2.37,Madhya Pradesh Poorv Kshetra Vidyut Vitaran Company Limited (MPPoKVVCL),B-,Yes
Balangir,Very High,Low,Very Low,Adaptation,49.63,101.7,1.9,46.7,30.29,49.64,741.0,0.12,,,150.0,90.62,1.05,1.3,TP Western Odisha Distribution Limited (TPWODL),A+,No data
Baleshwar,High,Low,Low,Adaptation,55.58,117.8,27.9,28.71,56.29,58.07,11078.0,0.83,65.0,34.0,150.0,97.99,0.62,1.53,TP Northern Odisha Distribution Limited (TPNODL),A+,No data
Ballia,Low,Very High,Moderate,Mitigation,72.46,163.2,80.8,72.75,68.64,63.71,2286.0,0.19,2.0,96.0,,94.56,0.65,2.0,Purvanchal Vidyut Vitran Nigam Limited (PuVVNL),C-,Yes
Balod,High,Very Low,Moderate,Adaptation,51.03,133.0,48.1,47.51,24.37,71.91,1800.0,1.42,95.0,5.0,,85.49,1.13,2.98,Chhattisgarh State Power Distribution Company Limited (CSPDCL),B-,No
Baloda Bazar,High,Low,Low,Adaptation,51.47,113.0,47.3,46.07,12.3,48.56,595.0,0.25,99.0,,,90.05,0.91,2.77,Chhattisgarh State Power Distribution Company Limited (CSPDCL),B-,No
Balrampur,Moderate,Very Low,Low,No Data,25.88,114.7,8.8,46.84,25.64,22.09,643.0,0.27,100.0,,,75.56,1.54,3.63,Chhattisgarh State Power Distribution Company Limited (CSPDCL),B-,No
Balrampur-UP,Moderate,Moderate,Low,No Data,25.88,167.1,,73.26,79.73,59.58,1752.0,0.38,30.0,70.0,,93.2,0.72,1.59,Paschimanchal Vidyut Vitran Nigam Limited (PVVNL),B,Yes
Banas Kantha,Very Low,Very High,Very High,Mitigation + GW Sustainability,64.45,191.4,71.7,68.46,97.66,115.52,3121.0,0.69,95.0,5.0,60.0,59.0,2.25,1.31,Uttar Gujarat Vij Company Limited (UGVCL),A+,Yes
Banda,High,Very High,Low,Adaptation + Mitigation,77.4,137.7,57.7,73.46,48.05,66.11,1285.0,0.01,2.0,97.0,,80.96,1.28,3.44,Dakshinanchal Vidyut Vitran Nigam Limited (DVVNL),C-,No
Bandipore,Very High,Low,Low,Adaptation,61.11,113.9,56.7,43.75,0.68,31.41,38.0,,100.0,,235.0,98.32,0.4,2.29,,,No data
Bangalore,Very Low,Low,Moderate,No Data,16.97,109.6,28.4,49.94,72.78,150.84,718.0,,8.0,89.0,,93.38,0.77,1.56,Bangalore Electricity Supply Company Limited (BESCOM),C,Yes
Bangalore Rural,Low,Low,High,GW Sustainability,55.9,102.8,19.5,51.08,74.12,154.0,15.0,0.01,1.0,99.0,,92.77,0.77,1.69,Bangalore Electricity Supply Company Limited (BESCOM),C,Yes
Banka,High,High,Moderate,Adaptation + Mitigation,37.87,128.8,87.8,45.31,24.88,30.44,3344.0,86.45,49.0,39.0,67.5,96.67,0.46,1.0,South Bihar Power Distribution Company Limited (SBPDCL),C,Yes
Bankura,Very High,Moderate,Low,Adaptation,51.48,152.5,11.6,42.98,33.93,36.34,24846.0,2.27,4.0,96.0,460.0,89.83,0.99,2.7,West Bengal State Electricity Distribution Company Limited (WBSEDCL),B-,No
Banswara,Very High,High,Low,Adaptation + Mitigation,51.53,156.1,34.2,77.29,23.73,67.23,221.0,0.49,44.0,56.0,167.0,88.94,0.93,3.93,Ajmer Vidyut Vitran Nigam Limited (AVVNL),B,No
Barabanki,Very Low,Very High,High,Mitigation + GW Sustainability,67.48,204.1,93.2,69.04,71.75,63.13,9085.0,0.75,30.0,64.0,,96.27,0.56,1.73,Madhyanchal Vidyut Vitran Nigam Limited (MVVNL),C-,Yes
Baramulla,Very High,Very Low,Low,Adaptation,59.28,100.5,45.2,27.6,0.79,13.86,15.0,,100.0,,235.0,96.55,0.52,3.29,,,No data
Baran,Very Low,High,High,Mitigation + GW Sustainability,49.22,190.0,52.9,69.29,67.03,128.77,118.0,1.96,88.0,12.0,167.0,67.07,2.11,2.06,Jaipur Vidyut Vitran Nigam Limited (JVVNL),B,No
Barddhaman,Moderate,No Data,No Data,No Data,33.87,,,,,51.6,,,,24.0,460.0,,,,West Bengal State Electricity Distribution Company Limited (WBSEDCL),B-,No
Bareilly,Very Low,Very High,High,Mitigation + GW Sustainability,73.24,165.4,93.3,74.08,60.5,71.62,5636.0,0.6,3.0,97.0,,93.71,0.73,1.62,Madhyanchal Vidyut Vitran Nigam Limited (MVVNL),C-,Yes
Bargarh,Very High,Very Low,Low,Adaptation,56.59,125.0,44.8,37.89,13.25,54.37,1698.0,0.73,14.0,81.0,150.0,85.21,1.23,1.42,TP Western Odisha Distribution Limited (TPWODL),A+,No data
Barmer,Very Low,High,Moderate,Mitigation,58.0,115.0,22.0,77.45,96.11,132.25,339.0,0.03,44.0,55.0,167.0,25.41,6.32,1.67,Jodhpur Vidyut Vitran Nigam Limited (JDVVNL),B-,No
Barnala,Very Low,Very High,Very High,Mitigation + GW Sustainability,88.81,197.8,100.0,77.34,78.38,223.59,148.0,0.03,,,,,3.94,1.23,Punjab State Power Corporation Limited (PSPCL),B,Yes
Barpeta,Moderate,Low,Low,No Data,59.47,142.1,37.6,35.36,92.65,36.48,4586.0,0.46,,,465.0,79.82,1.15,5.11,Assam Power Distribution Company Limited (APDCL),B-,No
Barwani,Low,Low,High,GW Sustainability,43.66,134.6,45.8,78.59,38.78,71.38,149.0,0.09,79.0,21.0,135.0,71.56,1.66,2.33,Madhya Pradesh Paschim Kshetra Vidyut Company Limited (MPPaKVVCL),A,Yes
Bastar,High,Very Low,Low,Adaptation,26.89,103.9,6.3,42.13,,30.59,652.0,1.05,89.0,10.0,,70.28,1.86,2.78,Chhattisgarh State Power Distribution Company Limited (CSPDCL),B-,No
Basti,Low,Very High,High,Mitigation + GW Sustainability,70.78,170.9,95.4,72.75,89.66,65.63,4450.0,0.83,9.0,91.0,,95.63,0.59,2.04,Purvanchal Vidyut Vitran Nigam Limited (PuVVNL),C-,Yes
Bathinda,Very Low,Low,Very High,GW Sustainability,87.09,190.5,99.8,81.02,39.31,105.0,573.0,0.19,100.0,,,,3.99,1.23,Punjab State Power Corporation Limited (PSPCL),B,Yes
Bauda,Very High,Very Low,Very Low,Adaptation,35.93,103.3,40.5,34.58,7.93,45.23,,,87.0,13.0,150.0,89.82,1.08,1.8,TP Southern Odisha Distribution Limited (TPSODL),B,No data
Begusarai,Very Low,High,Moderate,Mitigation,67.26,155.8,70.5,63.61,94.62,63.22,139.0,0.31,1.0,97.0,67.5,98.09,0.23,1.0,North Bihar Power Distribution Company Ltd (NBPDCL),C,Yes
Belgaum,Moderate,Very High,Low,Mitigation,74.19,131.9,46.6,68.74,51.63,67.71,145.0,,21.0,77.0,,75.22,1.6,1.65,Hubli Electricity Supply Company Limited (HESCOM),C,Yes
Bellary,High,Very High,Low,Adaptation + Mitigation,61.18,121.9,50.4,72.69,37.31,27.46,165.0,0.3,2.0,92.0,,72.28,1.69,1.51,Gulbarga Electricity Supply Company Limited (GESCOM),C,Yes
Bemetara,High,High,Very High,All,79.15,160.3,51.2,53.17,30.25,93.18,1616.0,8.44,100.0,,,85.09,1.15,3.1,Chhattisgarh State Power Distribution Company Limited (CSPDCL),B-,No
Betul,Moderate,Low,Moderate,No Data,45.78,147.8,32.2,70.0,58.65,49.65,3776.0,0.62,86.0,14.0,135.0,68.71,1.75,2.08,Madhya Pradesh Madhya Kshetra Vidyut Vidyut Vitaran Company Limited (MPMKVVCL),B,Yes
Bhadrak,Very High,Very Low,Low,Adaptation,62.87,102.6,49.9,31.02,10.08,60.28,4255.0,0.45,73.0,27.0,150.0,95.69,0.76,2.21,TP Northern Odisha Distribution Limited (TPNODL),A+,No data
Bhagalpur,Moderate,Moderate,Moderate,No Data,41.98,122.9,67.5,59.37,58.7,36.59,224.0,0.02,95.0,5.0,67.5,99.4,0.26,1.0,South Bihar Power Distribution Company Limited (SBPDCL),C,Yes
Bhandara,Very High,Moderate,Low,Adaptation,44.73,120.0,16.1,68.73,36.84,30.22,2720.0,0.67,100.0,,155.0,91.61,0.9,1.62,Maharashtra State Electricity Distribution Company Limited (MSEDCL),C,Yes
Bharatpur,Very Low,Very High,Very High,Mitigation + GW Sustainability,77.78,154.3,60.0,63.88,97.08,120.76,1315.0,0.22,73.0,26.0,167.0,80.98,1.42,2.76,Jaipur Vidyut Vitran Nigam Limited (JVVNL),B,No
Bharuch,Moderate,Moderate,High,GW Sustainability,59.02,100.7,51.0,75.54,52.17,30.91,2247.0,0.93,100.0,,60.0,66.35,1.97,1.01,Dakshin Gujarat Vij Company Limited (DGVCL),A+,Yes
Bhavnagar,Moderate,High,High,Mitigation + GW Sustainability,66.78,112.8,37.9,79.11,99.34,42.78,1867.0,0.66,100.0,,60.0,67.51,2.02,1.01,Paschim Gujarat Vij Company Limited (PGVCL),A+,Yes
Bhilwara,Moderate,High,Very High,Mitigation + GW Sustainability,41.78,145.3,36.5,77.51,82.98,163.3,1877.0,64.41,96.0,4.0,167.0,76.8,1.58,4.03,Ajmer Vidyut Vitran Nigam Limited (AVVNL),B,No
Bhind,Low,High,High,Mitigation + GW Sustainability,76.33,120.5,55.1,58.69,54.75,32.65,1604.0,0.28,78.0,21.0,135.0,76.38,1.38,4.78,Madhya Pradesh Madhya Kshetra Vidyut Vidyut Vitaran Company Limited (MPMKVVCL),B,Yes
Bhiwani,Very Low,High,Very High,Mitigation + GW Sustainability,89.6,166.6,70.7,76.72,61.68,106.66,258.0,,100.0,,10.0,58.76,2.59,1.18,Dakshin Haryana Bijli Vitran Nigam Limited (DHBVNL),A,Yes
Bhojpur,High,Very High,Moderate,Adaptation + Mitigation,81.65,114.7,91.5,65.43,29.65,47.24,1207.0,1.04,13.0,70.0,67.5,95.63,0.41,2.31,South Bihar Power Distribution Company Limited (SBPDCL),C,Yes
Bhopal,Low,High,Very High,Mitigation + GW Sustainability,54.96,192.4,47.0,71.03,74.06,78.3,390.0,2.34,96.0,3.0,135.0,68.48,1.9,1.87,Madhya Pradesh Madhya Kshetra Vidyut Vidyut Vitaran Company Limited (MPMKVVCL),B,Yes
Bid,Very High,Very High,Very High,All,75.87,136.6,57.2,71.3,90.69,59.22,4235.0,15.41,99.0,1.0,155.0,83.05,1.19,1.68,Maharashtra State Electricity Distribution Company Limited (MSEDCL),C,Yes
Bidar,Low,High,Moderate,Mitigation,71.09,123.7,7.7,57.29,91.02,58.63,730.0,0.95,99.0,,,73.87,1.7,1.8,Gulbarga Electricity Supply Company Limited (GESCOM),C,Yes
Bijapur,Low,Very Low,Very Low,No Data,12.37,100.1,6.1,41.95,31.17,7.99,170.0,0.06,91.0,5.0,,47.99,2.65,3.05,Chhattisgarh State Power Distribution Company Limited (CSPDCL),B-,No
Bijapur-K,Low,Very Low,Low,No Data,12.37,108.7,6.1,57.46,79.27,40.5,14.0,,100.0,,,53.9,2.58,1.64,Hubli Electricity Supply Company Limited (HESCOM),C,Yes
Bijnor,Very Low,Very High,Moderate,Mitigation,68.38,124.7,96.6,72.76,81.12,71.85,7465.0,0.58,5.0,95.0,,89.01,0.88,1.71,Paschimanchal Vidyut Vitran Nigam Limited (PVVNL),B,Yes
Bikaner,Low,Moderate,Moderate,No Data,51.81,129.4,46.3,77.4,28.94,137.21,,,40.0,59.0,167.0,12.44,7.16,1.64,,,No data
Bilaspur,Moderate,Very Low,Low,No Data,45.2,112.6,44.4,44.13,14.73,63.58,983.0,0.23,100.0,,,89.63,0.96,2.51,Chhattisgarh State Power Distribution Company Limited (CSPDCL),B-,No
Bilaspur-HP,Moderate,Very Low,Low,No Data,45.2,164.4,44.4,44.55,28.04,,4682.0,0.07,99.0,,30.0,91.25,0.8,2.19,Himachal Pradesh State Electricity Board Limited (HPSEBL),C,No
Birbhum,Very High,High,Moderate,Adaptation + Mitigation,72.63,156.8,18.4,48.44,29.77,31.48,33968.0,3.14,58.0,42.0,460.0,91.5,0.99,4.76,West Bengal State Electricity Distribution Company Limited (WBSEDCL),B-,No
Bishnupur,Very High,Moderate,Low,Adaptation,100.0,180.0,3.0,38.19,0.01,5.69,322.0,15.96,99.0,1.0,515.0,84.56,1.29,1.3,Manipur State Power Distribution Company Limited (MSPDCL),C,Yes
Bokaro,Very High,High,Low,Adaptation + Mitigation,9.18,118.2,9.4,37.65,46.7,42.55,3700.0,13.7,,,95.0,84.8,1.17,1.0,,,No data
Bongaigaon,High,High,Very Low,Adaptation + Mitigation,56.31,145.8,28.6,34.67,60.41,26.51,4147.0,0.29,,100.0,465.0,94.48,0.84,4.07,Assam Power Distribution Company Limited (APDCL),B-,No
Botad,Moderate,High,Moderate,Mitigation,80.06,110.9,33.5,80.54,97.62,50.26,376.0,0.51,100.0,,60.0,56.94,2.27,1.22,Paschim Gujarat Vij Company Limited (PGVCL),A+,Yes
Budaun,Very Low,Very High,High,Mitigation + GW Sustainability,83.79,185.1,72.9,78.69,53.12,83.11,3208.0,0.22,13.0,87.0,,93.34,0.74,1.75,Madhyanchal Vidyut Vitran Nigam Limited (MVVNL),C-,Yes
Bulandshahr,Very Low,Very High,Very High,Mitigation + GW Sustainability,82.03,179.6,100.0,78.99,78.22,95.56,2163.0,0.09,30.0,69.0,,90.58,0.84,2.0,Paschimanchal Vidyut Vitran Nigam Limited (PVVNL),B,Yes
Buldana,Moderate,High,High,Mitigation + GW Sustainability,59.0,106.2,6.2,65.67,94.31,76.95,3611.0,0.36,100.0,,155.0,80.06,1.3,1.28,Maharashtra State Electricity Distribution Company Limited (MSEDCL),C,Yes
Bundi,Low,High,Moderate,Mitigation,46.04,185.5,59.7,78.33,54.02,102.17,,,48.0,52.0,167.0,73.94,1.69,2.45,Jaipur Vidyut Vitran Nigam Limited (JVVNL),B,No
Burhanpur,Very Low,High,High,Mitigation + GW Sustainability,29.85,130.9,55.1,77.84,80.57,69.8,106.0,0.54,99.0,,135.0,70.13,1.74,1.83,West Bengal State Electricity Distribution Company Limited (WBSEDCL),B-,No
Buxar,High,Very High,Moderate,Adaptation + Mitigation,80.52,139.1,89.0,65.28,33.63,42.48,1267.0,1.55,48.0,52.0,67.5,91.09,0.49,3.44,South Bihar Power Distribution Company Limited (SBPDCL),C,Yes
Cachar,Very High,Very Low,Very Low,Adaptation,33.3,150.0,1.6,33.12,2.28,3.42,7214.0,0.26,1.0,99.0,465.0,87.58,1.36,2.43,Assam Power Distribution Company Limited (APDCL),B-,No
Chamba,Low,Very Low,Very Low,No Data,5.7,163.0,,26.92,1.61,,2635.0,0.05,65.0,34.0,30.0,93.52,0.76,9.84,Himachal Pradesh State Electricity Board Limited (HPSEBL),C,No
Chamoli,Moderate,Low,Low,No Data,3.65,151.0,,35.41,0.17,,65.0,,,,285.0,93.1,0.8,2.91,Uttarakhand Power Corporation Limited (UPCL),B-,Yes
Champawat,High,Moderate,Very Low,Adaptation,6.05,157.7,,48.02,3.47,,143.0,,,,285.0,94.8,0.75,1.82,Uttarakhand Power Corporation Limited (UPCL),B-,Yes
Champhai,Very High,Very Low,Very Low,Adaptation,6.2,100.0,26.5,41.41,,2.82,179.0,0.02,,,380.0,97.0,0.83,1.3,,,No data
Chamrajnagar,Low,Low,Moderate,No Data,31.34,125.8,30.9,59.5,61.39,96.53,83.0,0.01,99.0,,,89.64,1.0,1.31,Chamundeshwari Electricity Supply Corporation Limited (CHESCOM),B,Yes
Chandauli,Low,Very High,Moderate,Mitigation,53.45,182.7,92.3,72.26,42.8,54.92,1588.0,,27.0,73.0,,94.42,0.63,1.7,Purvanchal Vidyut Vitran Nigam Limited (PuVVNL),C-,Yes
Chandel,Very High,Very Low,Very Low,Adaptation,100.0,144.8,,33.29,0.06,,25.0,,98.0,2.0,515.0,65.21,1.45,1.02,Manipur State Power Distribution Company Limited (MSPDCL),C,Yes
Chandigarh,Very Low,Low,Very High,GW Sustainability,16.83,155.9,,64.38,97.16,75.41,189.0,2.63,99.0,1.0,260.0,82.82,1.22,3.02,,,No data
Chandrapur,Very High,Very Low,Low,Adaptation,35.14,117.9,22.2,65.27,41.72,29.32,4878.0,0.43,100.0,,155.0,69.52,1.72,1.53,Maharashtra State Electricity Distribution Company Limited (MSEDCL),C,Yes
Changlang,Moderate,Very Low,Very Low,No Data,33.93,130.3,24.6,25.11,10.15,0.48,49.0,,77.0,23.0,290.0,49.63,3.25,3.38,,,No data
Chatra,Very High,High,Moderate,Adaptation + Mitigation,5.89,111.8,21.0,50.62,49.47,35.16,4033.0,45.61,100.0,,95.0,90.1,0.79,1.99,Jharkhand Bijli Vitran Nigam Limited (JBVNL),C-,No
Chennai,Very Low,Very Low,Low,No Data,0.86,,,61.79,40.43,127.47,305.0,,,,,,,,Tamil Nadu Generation and Distribution Corporation Limited (TANGEDCO),C-,No
Chhatarpur,Very Low,High,Very High,Mitigation + GW Sustainability,55.09,158.6,42.1,67.19,75.36,65.42,2242.0,1.9,94.0,6.0,135.0,74.84,1.64,3.43,Madhya Pradesh Poorv Kshetra Vidyut Vitaran Company Limited (MPPoKVVCL),B-,Yes
Chhindwara,Low,Moderate,High,GW Sustainability,43.3,145.4,33.4,72.12,68.66,63.24,712.0,0.72,88.0,12.0,135.0,72.21,1.88,2.23,Madhya Pradesh Poorv Kshetra Vidyut Vitaran Company Limited (MPPoKVVCL),B-,Yes
Chhota Udaipur,Moderate,Very High,High,Mitigation + GW Sustainability,63.06,117.9,62.9,74.47,86.16,39.95,2209.0,1.09,100.0,,60.0,71.72,1.7,1.0,Madhya Gujarat Vij Company Limited (MGVCL),A+,Yes
